# Cohortes de la Academia CONAF. Se crean a nivel de sistema.
# Fuente: prototipo pantalla 13 sección 2, y Anexo C.2 de la Propuesta.
#
# El campus actual tiene CERO cohortes, y por eso «región» no es un atributo suyo
# y la pregunta «¿cuántos brigadistas del Biobío completaron la malla estándar
# este año?» no tiene respuesta posible — no por falta de herramienta de reportes,
# sino porque el dato no existe. Son la pieza que permite matricular a un grupo
# completo y, sobre todo, CONSULTAR por él. La diferencia acá es de orden: se
# crean antes de que entre la primera persona, no después de tener miles sin
# clasificar.
#
# TRES FAMILIAS INDEPENDIENTES. Cada persona pertenece a una de cada familia, y
# al cruzarlas se obtiene cualquier segmento sin crear cohortes nuevas. Esa es la
# razón de que NO haya cohortes tipo «brigadistas del Biobío 2026»: eso es el
# cruce de tres, no una cuarta.
#
# Y ES LO QUE REEMPLAZA A LOS CURSOS DUPLICADOS POR EDICIÓN. Una formación es un
# curso; las ediciones son cohortes. En el campus actual «Curso C-111 Nivel 2»
# existe dos veces —1.ª edición en Cursos CONAF y 2.ª en Cursos MBZ— porque la
# edición se modeló como curso y el financiador como categoría. Ese campus no se
# trae, así que acá la regla no corrige nada: impide. Sin ella, el mismo patrón
# vuelve a nacer y se multiplica por siete áreas.

idnumber,nombre,familia,descripcion
# ─── Familia territorial · 16, una por Dirección Regional ────────────────────
# Numeración oficial de regiones, de norte a sur.
REG-15,Arica y Parinacota,territorial,Dirección Regional de Arica y Parinacota
REG-01,Tarapacá,territorial,Dirección Regional de Tarapacá
REG-02,Antofagasta,territorial,Dirección Regional de Antofagasta
REG-03,Atacama,territorial,Dirección Regional de Atacama
REG-04,Coquimbo,territorial,Dirección Regional de Coquimbo
REG-05,Valparaíso,territorial,Dirección Regional de Valparaíso
REG-13,Metropolitana,territorial,Dirección Regional Metropolitana
REG-06,O'Higgins,territorial,Dirección Regional del Libertador General Bernardo O'Higgins
REG-07,Maule,territorial,Dirección Regional del Maule
REG-16,Ñuble,territorial,Dirección Regional de Ñuble
REG-08,Biobío,territorial,Dirección Regional del Biobío
REG-09,La Araucanía,territorial,Dirección Regional de La Araucanía
REG-14,Los Ríos,territorial,Dirección Regional de Los Ríos
REG-10,Los Lagos,territorial,Dirección Regional de Los Lagos
REG-11,Aysén,territorial,Dirección Regional de Aysén del General Carlos Ibáñez del Campo
REG-12,Magallanes,territorial,Dirección Regional de Magallanes y de la Antártica Chilena

# ─── Familia ocupacional · 7 ─────────────────────────────────────────────────
# Sirven para asignar automáticamente la formación obligatoria por cargo, y para
